product_name,Count
Great English Muffins,143
Carrington Ice Cream,140
Nationeel Dried Apples,138
Nationeel Fudge Brownies,138
Excellent Orange Juice,137
Ebony Mixed Nuts,137
Booker String Cheese,137
Steady Childrens Cold Remedy,136
Moms Roasted Chicken,135
Super Chunky Peanut Butter,134
Great Pumpernickel Bread,134
Better Canned Tuna in Oil,133
Gerolli Extra Lean Hamburger,132
Nationeel Golden Raisins,132
Carlson Blueberry Yogurt,131
Thresher Malted Milk Balls,131
Ebony Red Delcious Apples,131
Moms Potato Salad,130
Sunset Paper Towels,130
Carrington Turkey TV Dinner,130
Best Wheat Puffs,129
Skinner Strawberry Drink,129
Better Canned Tomatos,129
Better Chicken Ramen Soup,128
Modell Rye Bread,128
Moms Beef Bologna,128
Sunset Paper Plates,128
Super Extra Chunky Peanut Butter,128
Tell Tale Fresh Lima Beans,128
ADJ Rosy Sunglasses,128
Tri-State Almonds,128
Hilltop Mint Mouthwash,128
Better Fancy Canned Clams,128
Carlson Buttermilk,128
Booker 1% Milk,128
Super Salt,127
Better Chicken Soup,127
Steady Whitening Toothpast,127
Better Chicken Noodle Soup,127
Carlson Sour Cream,127
Hermanos Fresh Lima Beans,127
Best Choice Salsa Dip,127
Black Tie Eyeglass Screwdriver,127
Carlson Havarti Cheese,127
Good Chablis Wine,127
Hermanos Elephant Garlic,126
Monarch Manicotti,126
Best Oatmeal,126
Hermanos Green Pepper,126
Super White Sugar,126
BBB Best Brown Sugar,126
Best Choice Dried Dates,126
Just Right Turkey Noodle Soup,126
Big Time Chicken TV Dinner,125
Great Wheat Bread,125
Carlson Low Fat String Cheese,125
Imagine Frozen Corn,125
Hilltop Silky Smooth Hair Conditioner,125
Super Strawberry Jelly,125
Hermanos Potatos,125
Nationeel Raspberry Fruit Roll,125
Steady 200 MG Ibuprofen,125
Thresher Semi-Sweet Chocolate Bar,125
Musial Bubble Gum,124
CDR Strawberry Preserves,124
Musial Tasty Candy Bar,124
Big Time Frozen Cheese Pizza,124
Carrington Frozen Chicken Wings,124
Best Choice Chocolate Donuts,124
Steady 200 MG Acetominifen,124
Hermanos Macintosh Apples,124
Horatio Frosted Cookies,124
Fast Chocolate Chip Cookies,124
High Top New Potatos,124
Ebony Fresh Lima Beans,124
Even Better Strawberry Yogurt,124
Red Wing Plastic Forks,124
Consolidated Childrens Cold Remedy,124
Pearl White Zinfandel Wine,124
CDR Vegetable Oil,123
Monarch Rice Medly,123
High Top Corn on the Cob,123
Tell Tale Baby Onion,123
Nationeel Strawberry Fruit Roll,123
Bravo Fancy Canned Anchovies,123
Thresher Spicy Mints,123
Ebony Green Pepper,123
Nationeel Avocado Dip,123
Atomic White Chocolate Bar,123
Carrington Apple Cinnamon Waffles,123
Pleasant Fancy Canned Oysters,123
Hermanos Peaches,123
Red Wing Tissues,123
Red Wing AA-Size Batteries,123
Best Choice Low Fat Popcorn,123
Imagine Frozen Cheese Pizza,123
Better Fancy Canned Anchovies,123
PigTail Ice Cream,122
Sunset Plastic Forks,122
Ebony Corn on the Cob,122
Consolidated Mint Mouthwash,122
Skinner Apple Juice,122
Excellent Cranberry Juice,122
Hilltop Apricot Shampoo,122
Sphinx English Muffins,122
Moms Low Fat Cole Slaw,122
Sunset Economy Toilet Brush,122
Moms Chicken Hot Dogs,122
Mighty Good Monthly Sports Magazine,122
Imagine Frozen Chicken Wings,122
Red Wing Glass Cleaner,122
Better Canned String Beans,122
Better Canned Tuna in Water,122
Good Chardonnay Wine,122
Carrington Ice Cream Sandwich,122
Imagine Popsicles,122
Best Choice Golden Raisins,122
Horatio Apple Fruit Roll,122
Best Choice Fudge Cookies,122
Good Imported Beer,122
Urban Egg Substitute,122
Cormorant 60 Watt Lightbulb,121
Sphinx Muffins,121
Ebony Lettuce,121
Toucan Canned Mixed Fruit,121
Big Time Low Fat Waffles,121
Carrington Beef TV Dinner,121
Thresher Bubble Gum,121
Super Apple Jam,121
Tell Tale Lemons,121
Cormorant Paper Cups,121
Fort West BBQ Potato Chips,121
Imagine Fajita French Fries,121
Better Rice Soup,121
BBB Best Apple Butter,121
Just Right Fancy Canned Oysters,121
Tell Tale Sweet Onion,121
Ship Shape Seasoned Hamburger,121
Carrington Frozen Chicken Breast,121
Nationeel Graham Crackers,121
Better Noodle Soup,121
Gauss Monthly Auto Magazine,121
BBB Best Strawberry Jelly,121
Token Cranberry Juice,121
Urban Large Brown Eggs,121
Swell Canned Peaches,121
Landslide Vegetable Oil,120
Hermanos Squash,120
Tell Tale Lettuce,120
Sunset Glass Cleaner,120
Carlson Cheese Spread,120
Steady Conditioning Shampoo,120
Fabulous Strawberry Drink,120
Horatio Raspberry Fruit Roll,120
Hermanos Tomatos,120
Landslide Apple Butter,120
Super Apple Jelly,120
Super Apple Preserves,120
Even Better Havarti Cheese,120
Consolidated Silky Smooth Hair Conditioner,120
Fabulous Orange Juice,120
Great Bagels,120
Bird Call Conditioning Shampoo,120
Tri-State Plums,120
Tell Tale Firm Tofu,120
Even Better Large Curd Cottage Cheese,120
Red Wing Counter Cleaner,120
Akron Eyeglass Screwdriver,120
Hilltop Conditioning Shampoo,120
Excellent Cream Soda,120
Imagine Frozen Mushroom Pizza,120
Urban Small Brown Eggs,120
Ebony Squash,120
Hilltop Deodorant,120
Thresher Mint Chocolate Bar,119
Pleasant Canned Tuna in Water,119
Hilltop Toothpaste,119
Bird Call 200 MG Ibuprofen,119
Carlson Head Cheese,119
BBB Best French Roast Coffee,119
Carrington Frozen Corn,119
Dollar Monthly Home Magazine,119
Fabulous Cranberry Juice,119
Big Time Frozen Chicken Thighs,119
Super Creamy Peanut Butter,119
Nationeel Fondue Mix,119
Great White Bread,119
Carlson Sharp Cheddar Cheese,119
Hilltop 200 MG Acetominifen,119
Nationeel Lemon Cookies,119
Carrington Low Fat Waffles,119
Horatio Salted Pretzels,119
Hermanos Onions,119
Big Time Pancake Mix,119
Excellent Mango Drink,119
Lake Low Fat Cole Slaw,119
Moms Pimento Loaf,119
Red Wing Copper Pot Scrubber,119
Hermanos Golden Delcious Apples,119
Framton City Map,119
Golden Blueberry Waffles,119
Pearl Imported Beer,119
Moms Sliced Chicken,118
Cormorant 25 Watt Lightbulb,118
Big Time Grape Popsicles,118
Hilltop Dishwasher Detergent,118
Best Choice No Salt Popcorn,118
Carlson Chocolate Milk,118
Tri-State Potatos,118
Golden Chicken TV Dinner,118
Big Time Orange Popsicles,118
Swell Canned Mixed Fruit,118
Sphinx Bagels,118
Red Wing 25 Watt Lightbulb,118
Applause Canned Peaches,118
Red Wing 75 Watt Lightbulb,118
Token Mango Drink,118
Super Apple Butter,118
Bravo Fancy Canned Oysters,118
Hilltop Extra Moisture Shampoo,118
Great Rye Bread,118
Carrington Blueberry Waffles,118
Plato Strawberry Jelly,118
Golden Frozen Cheese Pizza,118
Pleasant Chicken Noodle Soup,118
Golden Frozen Carrots,118
Consolidated Multi-Symptom Cold Remedy,118
Skinner Orange Juice,118
Nationeel Grape Fruit Roll,118
Great Blueberry Muffins,118
Carrington Low Fat French Fries,118
Carrington Frozen Pepperoni Pizza,117
Hermanos Mixed Nuts,117
High Top Oranges,117
Cormorant Paper Plates,117
Lake Potato Salad,117
Best Choice Fondue Mix,117
Sunset AAA-Size Batteries,117
Ebony Sweet Onion,117
Red Wing Plastic Knives,117
Footnote Seasoned Hamburger,117
Booker Large Curd Cottage Cheese,117
Cormorant Toilet Paper,117
Good Light Beer,117
Denny 60 Watt Lightbulb,117
Tri-State Honey Dew,117
Medalist Rice Medly,117
Big Time Apple Cinnamon Waffles,117
Mighty Good Monthly Fashion Magazine,117
Black Tie City Map,117
Nationeel Apple Fruit Roll,117
Tell Tale Corn on the Cob,117
High Quality Room Freshener,117
Red Wing Paper Cups,117
Red Wing Economy Toilet Brush,117
Landslide Canola Oil,117
Steady Apricot Shampoo,117
Faux Products Multi-Symptom Cold Remedy,117
Top Measure Chardonnay,117
Hilltop Buffered Aspirin,117
Fabulous Apple Juice,117
High Quality Scented Toilet Tissue,117
Footnote Extra Lean Hamburger,117
Pearl Chablis Wine,117
Carrington Grape Popsicles,117
Hermanos Oranges,117
Red Wing Soft Napkins,117
Carrington Frozen Mushroom Pizza,117
Big Time Lemon Popsicles,116
Skinner Mango Drink,116
Moms Sliced Turkey,116
Fort West Low Fat Popcorn,116
Tri-State Golden Delcious Apples,116
Tri-State Dried Mushrooms,116
Johnson Grits,116
Fort West Dried Apricots,116
